id,name
gsp001,creating a virtual
gsp002,getting started with shell gcloud
gsp003,provision services with marketplace
gsp004,creating a persistent
gsp005,hello node kubernetes
gsp006,monitoring cloud infrastructure stackdriver
gsp007,set up network http load balancers
gsp008,rent a vm process earthquake data
gsp009,weather data in
gsp010,distributed image processing cloud dataproc
gsp012,analyzing natality data datalab and bigquery
gsp013,predicting baby weight tensorflow on cloud ml engine
gsp015,running a node container on google kubernetes engine
gsp016,networking 101
gsp020,customize network topology subnetworks
gsp021,orchestrating the cloud kubernetes
gsp022,running a mongodb in kubernetes with statefulsets
gsp023,deploying a python web application to app engine flexible
gsp024,build a slack with node js on kubernetes
gsp025,build and launch asp net core app from google
gsp026,deploy a ruby rails app to app engine flexible
gsp027,deploy an asp core app to app engine
gsp028,deploy node js application in app engine
gsp029,running wordpress on engine flexible environment
gsp030,deploy asp net app to kubernetes engine
gsp031,deploy microsoft sql to compute engine
gsp032,deploy windows server asp net framework to compute engine
gsp033,install and use tools for powershell
gsp034,configuring and deploying sql server on gcp
gsp035,g suite admin started personalization
gsp036,provisioning and using managed hadoop spark cluster with cloud line
gsp037,detect labels faces landmarks in images with the cloud
gsp038,entity and sentiment with the natural language api
gsp041,internal load balancer
gsp042,http load balancer
gsp044,network performance testing
gsp045,improving network performance
gsp046,improving network performance
gsp047,run a big text processing pipeline in cloud dataflow
gsp048,speech to text with the cloud speech api
gsp049,translate text with cloud translation api
gsp050,working with google dataprep
gsp051,continuous delivery with in kubernetes engine
gsp052,helm package manager
gsp053,managing deployments using engine
gsp054,firebase sdk for functions
gsp055,introduction to docker
gsp056,deployment manager package deploy
gsp057,deployment manager for
gsp058,deployment manager adding balancing
gsp059,setting up a server on google compute engine
gsp060,deployment manager full
gsp061,google maps web proxy for mobile applications
gsp062,building high throughput
gsp063,classify text into with the natural language api
gsp064,cloud iam qwik
gsp065,firebase web
gsp066,awwvision cloud vision from a kubernetes cluster
gsp067,app engine qwik python
gsp068,app engine qwik java
gsp069,app engine qwik php
gsp070,app engine qwik go
gsp071,bigquery qwik start line
gsp072,bigquery qwik start
gsp073,cloud storage qwik console
gsp074,cloud storage qwik cli sdk
gsp075,extract analyze and text from images with the cloud
gsp076,cloud ml engine start
gsp077,tensorflow for poets
gsp078,implementing an ai with dialogflow
gsp079,getting started with kms
gsp080,cloud functions qwik command line
gsp081,cloud functions qwik console
gsp083,deployment manager qwik
gsp084,container registry qwik
gsp085,google cloud datalab start
gsp086,internet of things start
gsp087,autoscaling an instance with stackdriver custom metrics
gsp088,building an iot pipeline on google cloud platform
gsp089,cloud monitoring qwik
gsp090,monitoring multiple cloud with stackdriver
gsp091,creating and alerting logs based metrics
gsp092,monitoring and logging cloud functions
gsp093,compute engine qwik windows
gsp094,google cloud pub qwik start client libraries python
gsp095,google cloud pub qwik start command line
gsp096,google cloud pub qwik start console
gsp097,cloud natural language qwik start
gsp098,qwik start bigtable start hbase shell
gsp099,bigtable qwik start line
gsp100,kubernetes engine qwik
gsp101,google cloud essential challenge lab
gsp102,cloud spanner qwik
gsp103,dataproc qwik start
gsp104,dataproc qwik start line
gsp105,dataprep qwik start
gsp106,data loss prevention start command line
gsp107,data loss prevention start json
gsp108,RETIRED web app perform real time data analysis with and bigquery
gsp109,using ruby on with cloud sql for postgresql
gsp110,deploy refinery cms app engine flexible environment
gsp111,reporting application metrics stackdriver
gsp112,cloud security scanner start
gsp114,continuous delivery pipelines spinnaker and kubernetes engine
gsp115,building high availability high bandwidth nat gateways
gsp116,deploying memcached on engine
gsp117,setting up jenkins kubernetes engine
gsp118,deploying a fault microsoft active directory environment
gsp119,google cloud speech qwik start
gsp121,cloud source repositories start
gsp122,google cloud sdk start redhat centos
